"","organization","project","project_id","location","location_id","recording_date_time","recording_id","task_method","task_id","is_complete","species_code","species_common_name","species_scientific_name","species_class","detection_time","task_duration","tag_duration","min_tag_freq","max_tag_freq","tag_id","individual_order","vocalization","abundance","tag_rating","tag_is_verified","clip_channel_used","observer","observer_id","verifier_id","needs_review","left_full_freq_tag_rms_peak_dbfs","left_full_freq_tag_rms_trough_dbfs","left_full_freq_tag_pk_count","left_full_freq_tag_dc_offset","left_full_freq_tag_min_level","left_full_freq_tag_max_level","left_full_freq_tag_peak_level_dbfs","left_freq_filter_tag_rms_peak_dbfs","left_freq_filter_tag_rms_trough_dbfs","left_freq_filter_tag_pk_count","left_freq_filter_tag_dc_offset","left_freq_filter_tag_min_level","left_freq_filter_tag_max_level","left_freq_filter_tag_peak_level_dbfs","right_full_freq_tag_rms_peak_dbfs","right_full_freq_tag_rms_trough_dbfs","right_full_freq_tag_pk_count","right_full_freq_tag_dc_offset","right_full_freq_tag_min_level","right_full_freq_tag_max_level","right_full_freq_tag_peak_level_dbfs","right_freq_filter_tag_rms_peak_dbfs","right_freq_filter_tag_rms_trough_dbfs","right_freq_filter_tag_pk_count","right_freq_filter_tag_dc_offset","right_freq_filter_tag_min_level","right_freq_filter_tag_max_level","right_freq_filter_tag_peak_level_dbfs","tagged_in_wildtrax","media_url","spectrogram_url","clip_url"
"11","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",48.85,180,3.76,"2.16kHz","4.17kHz",5187106,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.58,-35.21,2,0.019756,0.00174,0.037384,-28.55,-59.04,-65.35,2,0,-0.005127,0.003845,-45.8,-27.89,-29.14,2,0.037172,0.020538,0.053497,-25.43,-55.43,-64.87,2,0,-0.008026,0.005463,-41.91,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/a7402fa390604a2e80bf77506ee70790.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/7e6e855f05954b678657ce16dec31ce8.flac"
"12","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","OCWA","Orange-crowned Warbler","LEIOTHLYPIS CELATA","Aves",60.96,180,1.01,"4.69kHz","6.95kHz",5187105,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.75,-35.04,2,0.019621,0.001648,0.038055,-28.39,-63.66,-66.41,3,0,-0.002472,0.002411,-52.14,-28.03,-29.13,2,0.037061,0.021088,0.055237,-25.16,-63.07,-66.51,2,0,-0.004639,0.003662,-46.67,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/f8120904616a4f819dd4166cf0a22584.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/7d9e8136050f4cce8a261430f763110c.flac"
"13","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","SWTH","Swainson's Thrush","CATHARUS USTULATUS","Aves",66.38,180,0.63,"0.67kHz","3.04kHz",5187107,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.97,-34.81,2,0.019287,0.003571,0.033875,-29.4,-62.46,-64.9,2,-4e-06,-0.009308,0.002502,-40.62,-28.07,-29.02,2,0.036851,0.021088,0.050415,-25.95,-59.05,-64.5,2,-8e-06,-0.015289,0.003845,-36.31,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/e539a90a4db74baca6308e9902e2c275.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/d9a1eea338d14a9d9e5a905fdee1d060.flac"
"14","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",80.13,180,2.19,"1.70kHz","5.92kHz",5187114,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-30.36,-34.41,2,0.019775,-0.018921,0.069275,-23.19,-47.01,-62.43,2,0,-0.014984,0.014435,-36.49,-26.7,-29.03,2,0.0371,-0.004059,0.0849,-21.42,-46.37,-62.04,2,-1e-06,-0.015594,0.014984,-36.14,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/6c23ff9723cb4bf4bca3b68b16d6db17.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/a2020c5bdcbe4419a1e666123f1ac220.flac"
"15","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",89.91,180,2,"1.85kHz","6.33kHz",5187113,2,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-31.95,-34.65,2,0.019776,-0.005219,0.048889,-26.22,-40.59,-57.43,2,0,-0.024597,0.025635,-31.82,-27.67,-28.99,2,0.037181,0.00827,0.068359,-23.3,-39.61,-55.94,2,-1e-06,-0.027588,0.028046,-31.04,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/b9cddee9adc44c798a32373862b3d7a9.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/aee03654082f4125be1330bcdc25dad1.flac"
"16","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",100.21,180,2.15,"2.99kHz","4.48kHz",5187108,2,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-31.93,-35.24,2,0.019811,0.00119,0.038513,-28.29,-62.9,-68.12,2,0,-0.002686,0.002289,-51.42,-27.7,-29.24,2,0.037255,0.020874,0.053619,-25.41,-62.99,-67.9,2,0,-0.005188,0.004639,-45.7,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/c6935809b3ae43f7b7903881a90ff06f.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/dfb47d8c437b40f8a42f3012855b8ea9.flac"
"17","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",103.03,180,1.63,"2.58kHz","3.45kHz",5187110,3,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.65,-35.04,2,0.019682,0.002533,0.038086,-28.38,-62.11,-69.28,2,0,-0.002625,0.00235,-51.62,-27.92,-29.31,2,0.037128,0.019928,0.054321,-25.3,-58.94,-66.4,2,0,-0.004517,0.004211,-46.9,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/221df7b22ae54078b1156a8c118292d9.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/f69614ac2fd74b5e8398c1023b3d06fb.flac"
"18","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","DUFL","Dusky Flycatcher","EMPIDONAX OBERHOLSERI","Aves",108.31,180,0.83,"3.19kHz","5.92kHz",5187109,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.83,-34.78,2,0.019634,0.001709,0.037323,-28.56,-60.77,-65.94,2,0,-0.003906,0.003326,-48.16,-28.05,-29.07,3,0.036931,0.02005,0.053833,-25.38,-63.02,-65.97,2,-1e-06,-0.007599,0.005646,-42.39,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/2d6c96f131eb42db8546d532ff4a73b9.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/6867b64a052543c9be3b7ded242dcd7e.flac"
"19","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","AMRO","American Robin","TURDUS MIGRATORIUS","Aves",133,180,0.41,"1.24kHz","3.50kHz",5187111,1,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-32.95,-34.62,2,0.019532,0.003052,0.034851,-29.16,-63.5,-64.98,3,-2e-06,-0.005554,0.002106,-45.11,-28.11,-28.93,2,0.037167,0.021851,0.051086,-25.83,-60.63,-63.55,2,-5e-06,-0.010437,0.003479,-39.63,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/1c80c0c92f8540e9906124fc315e75d5.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/949852f1d8994c789ded07bbd5b1bcd2.flac"
"20","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-05 05:12:00",2756180,"1SPT",2498333,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",146.65,180,1.03,"3.40kHz","4.43kHz",5187116,4,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.43,-34.9,2,0.01973,0.002533,0.0401,-27.94,-51.5,-61.85,2,0,-0.005463,0.005493,-45.2,-27.9,-29.08,2,0.037128,0.023895,0.055298,-25.15,-56.24,-64.64,2,0,-0.003998,0.003876,-47.96,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2498333","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/ee1d643720c249b3ae8c03f914c4aba7.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/34f284b4-a61c-4f78-b306-09d65d589ec5/c4a12b465c464498b1a996e8a11b3789.flac"
"21","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-07 05:10:00",2867511,"1SPT",2597414,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",10.25,180,2.14,"1.39kHz","6.39kHz",5235580,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-33.32,-35.04,2,0.019328,0.001312,0.03714,-28.6,-46.51,-60.67,2,-1e-06,-0.018127,0.016022,-34.83,-28.28,-29.04,3,0.036767,0.019409,0.057312,-24.84,-46.3,-60.2,2,-1e-06,-0.015991,0.016205,-35.81,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2597414","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/2f4f1854267c4a3e8b9fffedf323f9e4.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/274e5738cf414d1fbbc68eb117cbfa13.flac"
"22","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-07 05:10:00",2867511,"1SPT",2597414,"t","WTSP","White-throated Sparrow","ZONOTRICHIA ALBICOLLIS","Aves",32.63,180,0.24,"2.42kHz","3.04kHz",5235596,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-34.07,-34.07,2,0.019469,0.008301,0.031128,-30.14,-66.63,-66.63,2,-1e-06,-0.001495,0.001434,-56.51,-28.66,-28.66,2,0.036753,0.026154,0.049438,-26.12,-64.35,-64.35,2,-1e-06,-0.002686,0.002563,-51.42,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2597414","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/b0bcd8b9095f4d5ea1885e239edcdc89.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/5d833047c9084e1fa4341df6953c2248.flac"
"23","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-07 05:10:00",2867511,"1SPT",2597414,"t","SWTH","Swainson's Thrush","CATHARUS USTULATUS","Aves",36.16,180,0.74,"1.70kHz","3.86kHz",5235601,1,"Song",1,NA,"f",1,"Leonard Patterson",2623,NA,"f",-32.92,-35.17,2,0.019395,0.007904,0.034088,-29.35,-57.33,-63.01,2,-1e-06,-0.005981,0.004456,-44.46,-28.06,-29.17,2,0.036733,0.027008,0.049774,-26.06,-58.74,-62.23,2,-2e-06,-0.010864,0.006592,-39.28,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2597414","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/6f87d4aa020a440087ca7d77ce6ae392.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/0e183efdba51422a8e9811eedbcf857e.flac"
"24","CANFOR","Interior Broadleaf Working Group ARU Monitoring 2023",2346,"DOC213-FR-C",492653,"2023-06-07 05:10:00",2867511,"1SPT",2597414,"t","WAVI","Warbling Vireo","VIREO GILVUS","Aves",45.31,180,0.86,"1.75kHz","3.97kHz",5235600,2,"Song",1,NA,"f",2,"Leonard Patterson",2623,NA,"f",-33.33,-35.1,2,0.019214,0.006561,0.032013,-29.89,-58.37,-62.78,2,-1e-06,-0.005585,0.004517,-45.06,-28.27,-29.01,2,0.036836,0.025146,0.051697,-25.73,-55.78,-61.05,2,-2e-06,-0.009827,0.006073,-40.15,"t","https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2597414","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/02904de45a38427a833105d243bb322a.jpg","https://wildtrax-aru.s3-accelerate.amazonaws.com/eea4cf03-5ae3-4d16-9db5-a86d6d567a7d/0787d7f23fd04bc8a545915ce871fdf0.flac"
