location,recording_date_time,task_method,recording_sample_frequency,task_duration,task_is_complete,observer,task_comments,internal_task_id
DOC213-NT-C, 2024-06-11 21:42:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428584
MUS155-NT-C, 2024-06-04 21:36:00,1SPT,32000,180.00,t,Kelsey Bell,,1428585
MUS113-LR-C, 2024-06-23 04:08:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428586
DOC266-FR-C, 2024-07-06 04:17:00,1SPT,32000,180.00,t,Marcus Sommers,,1428587
MUS111-HR-C, 2024-06-25 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428588
DOC266-HR-C, 2024-06-20 06:07:00,1SPT,32000,180.00,t,Kelsey Bell,,1428589
MUS061A-FR-C, 2024-07-05 21:43:00,1SPT,32000,180.00,t,Marcus Sommers,,1428590
MUS124-FR-C, 2024-06-22 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428591
DOC213-HR-C, 2024-07-25 07:43:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428592
MUS155-LR-C, 2024-06-21 22:46:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428593
DOC213-LR-C, 2024-06-13 21:43:00,1SPT,32000,180.00,t,Marcus Sommers,,1428594
MUS124-NT-C, 2024-06-05 22:37:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428595
MUS061A-FR-C, 2024-07-11 05:23:00,1SPT,32000,180.00,t,Kelsey Bell,,1428596
MUS113-LR-C, 2024-06-20 22:46:00,1SPT,32000,180.00,t,Kelsey Bell,,1428597
MUS111-NT-C, 2024-06-06 04:10:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,more going on but hard to pick out anything beyond the more prominent stuff,1428598
DOC213-HR-C, 2024-07-14 22:35:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428599
MUS124-HR-C, 2024-06-16 22:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428600
DOC213-NT-C, 2024-06-14 04:07:00,1SPT,32000,180.00,t,Marcus Sommers,,1428601
MUS111-NT-C, 2024-06-07 22:39:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428602
MUS111-FR-C, 2024-07-21 22:25:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428603
MUS061A-HR-C, 2024-06-11 04:08:00,1SPT,32000,180.00,t,Marcus Sommers,,1428604
MUS155-NT-C, 2024-07-08 05:19:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428605
MUS155-HR-C, 2024-06-08 04:09:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428606
DOC266-NT-C, 2024-06-27 04:10:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428607
DOC266-LR-C, 2024-07-17 05:31:00,1SPT,32000,180.00,t,Enid Cumming,,1428608
MUS155-HR-C, 2024-06-02 05:13:00,1SPT,32000,180.00,t,Marcus Sommers,,1428609
MUS155-HR-C, 2024-07-10 22:39:00,1SPT,32000,180.00,t,Marcus Sommers,,1428610
DOC266-LR-C, 2024-06-06 06:10:00,1SPT,32000,180.00,t,Marcus Sommers,,1428611
MUS155-FR-C, 2024-06-28 06:11:00,1SPT,32000,180.00,t,Marcus Sommers,,1428612
MUS061A-FR-C, 2024-07-07 21:41:00,1SPT,32000,180.00,t,Marcus Sommers,,1428613
MUS155-LR-C, 2024-07-17 04:31:00,1SPT,32000,180.00,t,Marcus Sommers,,1428614
DOC266-FR-C, 2024-06-18 04:37:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428615
MUS124-HR-C, 2024-06-06 05:10:00,1SPT,32000,180.00,t,Marcus Sommers,,1428616
MUS155-LR-C, 2024-06-16 21:45:00,1SPT,32000,180.00,t,Alana Demko,,1428617
DOC213-FR-C, 2024-07-02 04:44:00,1SPT,32000,180.00,t,Marcus Sommers,,1428618
MUS124-HR-C, 2024-06-09 07:09:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428619
MUS061A-FR-C, 2024-06-27 04:10:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428620
MUS155-LR-C, 2024-06-19 07:07:00,1SPT,32000,180.00,t,Marcus Sommers,,1428621
MUS124-FR-C, 2024-07-11 04:53:00,1SPT,32000,180.00,t,Alana Demko,,1428622
MUS061A-HR-C, 2024-07-07 04:48:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428623
MUS124-FR-C, 2024-07-02 07:14:00,1SPT,32000,180.00,t,Marcus Sommers,,1428624
MUS155-HR-C, 2024-07-01 22:45:00,1SPT,32000,180.00,t,Enid Cumming,"raining
windy",1428625
DOC266-NT-C, 2024-07-18 04:32:00,1SPT,32000,180.00,t,Marcus Sommers,,1428626
DOC266-LR-C, 2024-07-13 05:25:00,1SPT,32000,180.00,t,Enid Cumming,,1428627
MUS155-NT-C, 2024-07-18 22:30:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428628
DOC213-LR-C, 2024-06-23 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428629
MUS111-NT-C, 2024-07-15 05:28:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428630
DOC213-NT-C, 2024-06-26 04:40:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428631
MUS155-HR-C, 2024-07-22 07:38:00,1SPT,32000,180.00,t,Kelsey Bell,,1428632
MUS111-LR-C, 2024-06-16 22:45:00,1SPT,32000,180.00,t,Kelsey Bell,,1428633
MUS155-LR-C, 2024-06-09 22:40:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428634
MUS124-HR-C, 2024-06-30 07:12:00,1SPT,32000,180.00,t,Marcus Sommers,,1428635
DOC213-HR-C, 2024-06-09 04:09:00,1SPT,32000,180.00,t,Marcus Sommers,,1428636
MUS111-LR-C, 2024-07-04 05:15:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428637
MUS124-HR-C, 2024-06-06 22:38:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428638
MUS061A-LR-C, 2024-06-12 21:43:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428639
DOC266-LR-C, 2024-06-06 21:38:00,1SPT,32000,180.00,t,Marcus Sommers,,1428640
MUS124-FR-C, 2024-06-30 22:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428641
MUS155-HR-C, 2024-06-13 22:43:00,1SPT,32000,180.00,t,Marcus Sommers,,1428642
MUS111-HR-C, 2024-06-09 04:09:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428643
MUS061A-FR-C, 2024-06-18 22:46:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428644
MUS061A-LR-C, 2024-06-18 21:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428645
MUS113-LR-C, 2024-06-04 21:36:00,1SPT,32000,180.00,t,Kelsey Bell,,1428646
MUS061A-HR-C, 2024-06-04 22:36:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428647
MUS155-NT-C, 2024-07-21 06:37:00,1SPT,32000,180.00,t,Kelsey Bell,,1428648
DOC213-HR-C, 2024-06-26 21:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428649
MUS155-FR-C, 2024-07-13 21:36:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428650
MUS155-LR-C, 2024-06-22 04:38:00,1SPT,32000,180.00,t,Marcus Sommers,,1428651
DOC266-HR-C, 2024-06-12 07:08:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428652
DOC213-NT-C, 2024-06-18 21:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428653
MUS061A-LR-C, 2024-06-17 21:45:00,1SPT,32000,180.00,t,Meredith Stoesz,,1428654
MUS155-FR-C, 2024-07-10 04:22:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428655
MUS113-NT-C, 2024-07-21 21:25:00,1SPT,32000,180.00,t,Jon Van Arragon,no detections,1428656
MUS111-LR-C, 2024-07-01 22:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428657
MUS113-LR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428658
MUS124-NT-C, 2024-07-02 22:44:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428659
MUS113-NT-C, 2024-06-28 06:11:00,1SPT,32000,180.00,t,Enid Cumming,,1428660
DOC213-FR-C, 2024-07-06 21:42:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428661
DOC213-NT-C, 2024-06-12 21:43:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428662
MUS061A-FR-C, 2024-06-28 04:41:00,1SPT,32000,180.00,t,Kelsey Bell,,1428663
MUS111-HR-C, 2024-06-30 04:42:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428664
MUS155-NT-C, 2024-06-22 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428665
MUS113-NT-C, 2024-07-07 22:41:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428666
MUS155-FR-C, 2024-07-10 22:39:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428667
MUS111-LR-C, 2024-07-06 22:42:00,1SPT,32000,180.00,t,Marcus Sommers,,1428668
MUS124-NT-C, 2024-07-06 05:17:00,1SPT,32000,180.00,t,Marcus Sommers,,1428669
MUS124-NT-C, 2024-07-13 05:25:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428670
MUS124-FR-C, 2024-07-11 22:38:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428671
MUS061A-HR-C, 2024-06-19 06:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428672
MUS061A-LR-C, 2024-06-07 07:10:00,1SPT,32000,180.00,t,Marcus Sommers,,1428673
DOC213-FR-C, 2024-06-25 21:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428674
DOC266-NT-C, 2024-06-29 07:11:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428675
MUS124-FR-C, 2024-06-22 04:08:00,1SPT,32000,180.00,t,Marcus Sommers,,1428676
DOC213-FR-C, 2024-07-10 07:22:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428677
MUS111-HR-C, 2024-06-16 21:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428678
DOC213-LR-C, 2024-06-08 04:09:00,1SPT,32000,180.00,t,Alana Demko,,1428679
MUS113-LR-C, 2024-06-21 21:46:00,1SPT,32000,180.00,t,Kelsey Bell,,1428680
DOC213-FR-C, 2024-06-28 21:46:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428681
DOC213-FR-C, 2024-06-24 05:09:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428682
MUS113-LR-C, 2024-06-30 22:45:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428683
DOC266-HR-C, 2024-06-04 21:36:00,1SPT,32000,180.00,t,Marcus Sommers,,1428684
MUS113-LR-C, 2024-06-12 07:08:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428685
MUS124-NT-C, 2024-06-21 04:38:00,1SPT,32000,180.00,t,Enid Cumming,,1428686
MUS155-FR-C, 2024-07-15 04:58:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428687
DOC266-HR-C, 2024-07-24 21:21:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428688
DOC266-NT-C, 2024-06-12 22:43:00,1SPT,32000,180.00,t,Marcus Sommers,,1428689
MUS061A-FR-C, 2024-06-06 21:38:00,1SPT,32000,180.00,t,Marcus Sommers,,1428690
DOC266-HR-C, 2024-06-28 04:11:00,1SPT,32000,180.00,t,Alana Demko,,1428691
MUS111-LR-C, 2024-06-29 05:11:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428692
MUS111-FR-C, 2024-07-12 05:24:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing; left channel very faint.,1428693
MUS111-NT-C, 2024-06-18 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428694
MUS155-LR-C, 2024-07-22 22:24:00,1SPT,32000,180.00,t,Marcus Sommers,,1428695
MUS111-LR-C, 2024-07-05 06:16:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428696
MUS155-LR-C, 2024-06-11 06:08:00,1SPT,32000,180.00,t,Kelsey Bell,,1428697
DOC213-NT-C, 2024-06-25 04:39:00,1SPT,32000,180.00,t,Kelsey Bell,,1428698
MUS111-LR-C, 2024-06-12 22:43:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428699
DOC266-NT-C, 2024-07-13 21:36:00,1SPT,32000,180.00,t,Marcus Sommers,,1428700
MUS061A-HR-C, 2024-06-29 21:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428701
MUS061A-LR-C, 2024-06-20 06:07:00,1SPT,32000,180.00,t,Alana Demko,,1428702
MUS124-HR-C, 2024-07-22 21:24:00,1SPT,32000,180.00,t,Marcus Sommers,,1428703
MUS124-FR-C, 2024-07-06 05:17:00,1SPT,32000,180.00,t,Alana Demko,,1428704
DOC213-LR-C, 2024-06-10 21:41:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428705
DOC266-NT-C, 2024-06-09 04:39:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428706
MUS124-NT-C, 2024-07-06 06:17:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428707
MUS155-FR-C, 2024-07-22 21:24:00,1SPT,32000,180.00,t,Alana Demko,,1428708
DOC213-FR-C, 2024-06-17 21:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428709
MUS061A-LR-C, 2024-06-18 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428710
MUS124-FR-C, 2024-06-30 21:45:00,1SPT,32000,180.00,t,Marcus Sommers,,1428711
DOC266-FR-C, 2024-06-14 04:37:00,1SPT,32000,180.00,t,Marcus Sommers,,1428712
DOC266-FR-C, 2024-07-19 22:28:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428713
MUS113-NT-C, 2024-07-21 22:25:00,1SPT,32000,180.00,t,Marcus Sommers,,1428714
DOC266-FR-C, 2024-06-05 22:37:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428715
MUS113-NT-C, 2024-06-30 04:42:00,1SPT,32000,180.00,t,Marcus Sommers,,1428716
MUS124-NT-C, 2024-06-19 22:46:00,1SPT,32000,180.00,t,Alana Demko,,1428717
MUS111-FR-C, 2024-06-26 04:10:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428718
DOC213-NT-C, 2024-07-04 21:43:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428719
DOC213-LR-C, 2024-06-18 05:07:00,1SPT,32000,180.00,t,Kelsey Bell,,1428720
MUS061A-HR-C, 2024-07-07 06:18:00,1SPT,32000,180.00,t,Kelsey Bell,,1428721
MUS111-LR-C, 2024-06-26 06:10:00,1SPT,32000,180.00,t,Kelsey Bell,,1428722
DOC213-LR-C, 2024-06-08 07:09:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428723
DOC213-FR-C, 2024-06-18 07:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428724
MUS111-FR-C, 2024-07-13 21:36:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428725
DOC266-LR-C, 2024-06-15 06:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428726
MUS111-FR-C, 2024-06-28 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428727
MUS061A-HR-C, 2024-06-19 22:46:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428728
MUS155-FR-C, 2024-06-05 05:11:00,1SPT,32000,180.00,t,Marcus Sommers,,1428729
DOC266-LR-C, 2024-06-15 21:44:00,1SPT,32000,180.00,t,Alana Demko,insects buzzing,1428730
MUS111-NT-C, 2024-06-28 21:46:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428731
MUS061A-HR-C, 2024-06-03 22:34:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428732
DOC266-HR-C, 2024-07-15 07:28:00,1SPT,32000,180.00,t,Marcus Sommers,,1428733
MUS113-NT-C, 2024-07-23 07:40:00,1SPT,32000,180.00,t,Enid Cumming,windy,1428734
MUS111-NT-C, 2024-06-20 07:07:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428735
MUS061A-LR-C, 2024-06-21 07:08:00,1SPT,32000,180.00,t,Marcus Sommers,,1428736
DOC266-FR-C, 2024-06-05 05:11:00,1SPT,32000,180.00,t,Marcus Sommers,,1428737
DOC213-LR-C, 2024-06-18 04:07:00,1SPT,32000,180.00,t,Marcus Sommers,,1428738
MUS111-FR-C, 2024-07-22 06:38:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428739
DOC213-HR-C, 2024-06-14 22:44:00,1SPT,32000,180.00,t,Jon Van Arragon,,1428740
MUS155-FR-C, 2024-06-22 22:46:00,1SPT,32000,180.00,t,Marcus Sommers,,1428741
DOC266-HR-C, 2024-07-11 21:38:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428742
MUS111-FR-C, 2024-06-09 21:40:00,1SPT,32000,180.00,t,Kelsey Bell,,1428743
MUS061A-LR-C, 2024-06-26 06:10:00,1SPT,32000,180.00,t,Christopher Moser-Purdy,,1428744
MUS124-HR-C, 2024-06-07 21:39:00,1SPT,32000,180.00,t,Alex MacPhail,,1679679
MUS124-FR-C, 2024-06-30 07:12:00,1SPT,32000,180.00,t,Alex MacPhail,,1679680
MUS111-LR-C, 2024-06-08 22:39:00,1SPT,32000,180.00,t,Alex MacPhail,,1679681
MUS124-FR-C, 2024-06-28 04:41:00,1SPT,32000,180.00,t,Alex MacPhail,,1679682
MUS124-HR-C, 2024-06-28 21:46:00,1SPT,32000,180.00,t,Alex MacPhail,,1679688
DOC266-FR-C, 2024-06-02 04:43:00,1SPT,32000,180.00,t,Alex MacPhail,,1679689
DOC213-FR-C, 2024-06-02 22:33:00,1SPT,32000,180.00,t,Alex MacPhail,,1679691
MUS155-HR-C, 2024-06-24 22:46:00,1SPT,32000,180.00,t,Alex MacPhail,,1679692
DOC213-FR-C, 2024-06-26 22:46:00,1SPT,32000,180.00,t,Alex MacPhail,,1679947
DOC213-FR-C, 2024-06-25 22:46:00,1SPT,32000,180.00,t,Alex MacPhail,,1679966
DOC213-FR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499541
DOC213-FR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499542
DOC213-HR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499543
DOC213-FR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499544
DOC213-HR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499545
DOC213-LR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499546
DOC213-HR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499547
DOC213-LR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499548
DOC213-LR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499549
DOC213-NT-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499550
DOC213-NT-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499551
DOC213-NT-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499552
DOC266-FR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499554
DOC266-FR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499555
DOC266-HR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499556
DOC266-HR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499557
DOC266-LR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499558
DOC266-LR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499560
DOC266-LR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499561
DOC266-NT-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499562
DOC266-NT-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499563
DOC266-NT-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499564
MUS061A-FR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499565
MUS061A-FR-C, 2024-06-07 05:10:00,1SPT,32000,180,t,Leonard Patterson,USE LM,2499566
MUS061A-FR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499567
MUS061A-HR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499568
MUS061A-HR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499569
MUS061A-HR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499570
MUS061A-LR-C, 2024-06-04 05:12:00,1SPT,32000,180.00,t,Leonard Patterson,,2499571
MUS061A-LR-C, 2024-06-07 05:10:00,1SPT,32000,180.00,t,Leonard Patterson,,2499572
MUS061A-LR-C, 2024-06-10 05:08:00,1SPT,32000,180.00,t,Leonard Patterson,,2499573
